"Population by country of birth and year"

"country of birth","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Democratic Republic of the Congo",999,1092,1153,1226,1298,1360,1562,1703,1897,2084,2246,2402,2580,2811,3092,3381,3719,4260,4774,5115,5437,6194,6684
"Denmark",38190,38870,39890,40921,41663,42602,44444,45941,46167,46002,45548,44951,44209,43198,42374,41870,41212,40563,40011,39457,38929,38474,38070
"Djibouti",57,59,58,65,70,69,72,77,84,93,104,171,241,269,298,333,373,416,447,470,486,505,558
"Dominica",46,48,48,48,48,45,44,43,44,46,46,46,44,44,42,42,45,46,46,46,47,47,49
"Dominican Republic",245,274,307,338,364,399,451,481,512,541,574,592,632,674,708,733,778,820,862,913,928,946,972
"Ecuador",950,1001,1120,1230,1308,1391,1560,1697,1797,1896,1992,2103,2195,2272,2353,2422,2470,2524,2579,2627,2667,2727,2798
"Egypt",2085,2170,2279,2329,2408,2499,2681,2865,3071,3379,3718,4345,4962,5396,5803,6256,6807,7448,8154,9011,9570,10268,10768
"El Salvador",2332,2351,2363,2392,2425,2451,2536,2557,2590,2637,2677,2720,2781,2825,2883,2942,2994,3052,3121,3223,3303,3353,3401
"Equatorial Guinea",11,12,12,14,18,26,20,30,32,33,35,42,43,43,43,45,47,50,53,51,50,51,56
"Eritrea",3054,3465,3943,4353,4743,5371,6066,6769,7775,8963,10301,11994,13735,16592,21827,28616,35142,39081,42300,45734,47156,48278,49213
"Estonia",10253,10152,10079,9964,9920,9870,9820,9800,9763,9942,10010,10058,10145,10206,10268,10303,10221,10214,10094,9847,9606,9459,9509
"Eswatini",16,16,16,15,16,18,19,21,19,20,25,24,27,29,29,32,32,31,30,33,35,40,41
"Ethiopia",11907,11722,11409,11281,11213,11221,11427,11783,12223,13052,13822,14314,14844,15494,16145,16704,17944,19358,20695,21686,22125,22672,23141
"Fiji",36,39,40,42,44,44,49,50,49,54,56,56,60,63,61,63,66,69,69,76,78,86,90
"Finland",195447,193465,191515,189341,186589,183685,180906,178179,175113,172218,169521,166723,163867,161129,158488,156045,153620,150877,147883,144561,140337,136607,133083
"France",5602,5896,6048,6155,6311,6530,6709,6946,7429,7798,7944,8302,8385,8631,9005,9525,10028,10650,11159,11537,11854,12618,13445
"Gabon",4,3,2,2,4,3,3,7,10,10,12,22,24,24,24,25,27,32,33,34,36,37,38
"Gambia",2501,2600,2681,2771,2858,2931,3038,3145,3347,3609,3886,4056,4285,4500,4728,4884,5055,5218,5365,5505,5579,5737,5940
"Georgia",132,178,197,254,308,365,526,570,625,726,859,991,1102,1193,1247,1325,1437,1670,1927,2125,2278,2427,2611
"Germany",38155,38857,39447,40217,40826,41584,43044,45034,46854,47803,48158,48442,48731,48987,49359,49586,50189,50863,51140,51436,51434,52960,55642
"Ghana",981,1037,1084,1189,1278,1410,1477,1471,1569,1754,1927,2107,2272,2421,2557,2663,2815,2986,3191,3363,3511,3699,3899
"Gibraltar",0,1,1,5,5,5,5,5,6,6,7,7,8,6,6,6,6,6,5,6,7,8,9
"Greece",10851,10880,10911,10853,10794,10749,10760,10833,11043,11217,11381,12062,13205,14313,15176,16025,17060,18142,18917,19547,19737,19931,20672
"Grenada",40,40,40,40,41,42,41,40,44,45,45,43,45,42,41,40,40,41,39,38,39,39,41
"Guatemala",658,671,671,684,687,695,701,712,729,745,760,772,786,802,810,809,823,831,854,868,893,916,933
"Guinea",112,126,129,151,160,170,204,226,258,309,339,381,427,470,506,528,560,594,640,676,696,714,740
"Guinea-Bissau",78,84,86,90,94,94,99,99,108,111,120,119,127,132,135,142,143,146,152,156,157,158,166
"Guyana",106,108,109,113,118,119,119,118,121,125,127,129,124,128,124,120,120,124,130,132,132,135,136
"Haiti",107,110,114,114,113,116,118,124,123,132,135,136,137,147,144,144,148,149,151,151,151,156,162
"Honduras",210,212,214,229,260,274,286,302,303,322,330,349,357,364,369,361,379,384,401,424,446,461,488
"Hong Kong",561,566,573,570,580,589,579,571,569,586,593,594,598,599,588,581,584,595,614,604,612,615,615
"Hungary",14127,14027,13935,13794,13672,13600,13711,14057,14624,15119,15339,15441,15678,15953,16193,16531,16676,16792,16799,16728,16480,16381,16568
"Iceland",3530,3612,3691,3811,3851,3876,3914,3936,4091,4480,4728,5011,5196,5204,5334,5644,5822,5976,5992,5988,5932,5908,5914
"India",11110,11474,11838,12349,12928,13593,13979,14415,15263,16457,17863,18622,19415,20582,21929,23237,25719,29673,35234,40641,42790,47369,53973
"Indonesia",1624,1684,1762,1817,1873,1926,1932,1960,2033,2135,2198,2227,2263,2315,2372,2429,2572,2686,2826,2972,3050,3205,3306
"Iran (Islamic Republic of)",51101,51844,52721,53241,53982,54470,55747,56516,57663,59922,62120,63828,65649,67211,68436,69067,70637,74096,77386,80136,81301,83122,85488
"Iraq",49372,55696,62751,67645,70117,72553,82827,97513,109446,117919,121761,125499,127860,128946,130178,131888,135129,140830,144035,146048,146440,146769,146831
"Ireland",1108,1200,1303,1349,1413,1468,1542,1618,1725,1870,1950,2054,2203,2335,2472,2565,2667,2770,2843,2896,2982,3203,3332
"Israel",1517,1577,1647,1803,1945,2002,2065,2124,2235,2359,2339,2389,2433,2491,2573,2611,2632,2680,2734,2790,2785,2820,2847
"Italy",6337,6538,6570,6584,6597,6597,6721,6845,7243,7531,7804,8126,8636,9305,10016,10769,11601,12419,13192,13741,14155,14786,15665
"Jamaica",195,207,212,214,219,222,237,247,254,274,280,296,320,328,343,355,370,389,410,412,414,433,431
"Japan",2283,2308,2423,2502,2540,2611,2607,2667,2783,2894,2963,3097,3192,3166,3194,3150,3281,3378,3528,3686,3678,3797,3954
"Jordan",1068,1149,1207,1312,1451,1556,1802,2092,2377,2643,2848,3066,3280,3441,3673,3898,4222,4502,4878,5158,5278,5563,5785
"Kazakhstan",173,265,339,418,524,605,809,898,960,1081,1227,1383,1546,1716,1851,1956,2095,2223,2333,2465,2534,2659,2794
"Kenya",1267,1334,1402,1455,1515,1617,1708,1827,1956,2129,2424,2730,2932,3263,3537,3803,4042,4314,4502,4842,5040,5268,5419
"Kiribati",4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,6,6,6,8
"Korea, Democratic People´s Republic of",56,55,59,64,70,74,70,72,75,87,86,84,76,82,83,83,83,84,85,78,73,70,63
"Korea, Republic of Korea",9170,9320,9441,9574,9695,9798,9862,9958,10080,10232,10398,10499,10560,10665,10737,10690,10904,11093,11353,11642,11719,11795,11945
"Kosovo",0,0,0,0,0,0,0,0,0,1194,2288,3332,4408,5283,6117,6949,7716,8579,9487,10420,11164,11920,12605
"Kuwait",809,854,885,971,994,1039,1145,1244,1299,1396,1459,1558,1669,1824,2071,2268,2729,3314,3529,3699,3736,3792,3794
"Kyrgyzstan",46,62,70,106,164,244,345,406,454,507,559,643,757,877,940,990,1029,1108,1215,1306,1370,1431,1486
"Lao People´s Democratic Republic",362,378,382,388,404,416,433,448,457,466,482,486,491,492,500,490,489,491,498,508,508,511,521
"Latvia",2305,2349,2421,2482,2581,2715,2954,3122,3344,4116,4686,5304,5775,6096,6527,7026,7569,7973,8226,8621,8798,9288,10323
"Lebanon",20038,20228,20473,20811,21106,21441,22697,22967,23291,23701,24116,24394,24743,25212,25699,26159,26906,27487,28119,28508,28885,29313,29770
"Lesotho",21,21,21,21,22,20,20,20,20,22,26,33,44,49,55,57,62,67,69,70,72,75,77
